Graf,Noduri,Muchii,MaxCut,Durata(ms)
Graf_1,10,20,14,0.04
Graf_2,13,34,25,0.04
Graf_3,14,33,24,0.05
Graf_4,10,21,14,0.03
Graf_5,12,28,20,0.04
Graf_6,13,32,23,0.05
Graf_7,10,18,13,0.03
Graf_8,11,28,19,0.03
Graf_9,10,27,19,0.03
Graf_10,14,30,24,0.05
Graf_11,15,38,27,0.05
Graf_12,15,34,26,0.05
Graf_13,12,21,17,0.03
Graf_14,14,27,23,0.05
Graf_15,13,33,23,0.04
Graf_16,11,22,17,0.02
Graf_17,12,24,18,0.04
Graf_18,13,25,17,0.03
Graf_19,13,37,23,0.05
Graf_20,11,13,11,0.04
Graf_21,80,1263,751,2.32
Graf_22,76,1154,676,1.15
Graf_23,95,1745,1033,2.73
Graf_24,50,499,309,0.96
Graf_25,83,1372,804,1.47
Graf_26,31,193,123,0.21
Graf_27,88,1540,908,1.64
Graf_28,97,1857,1073,2.94
Graf_29,54,551,343,0.67
Graf_30,16,38,29,0.06
